component_a,component_b,hvtype,kijsrk,kijtsrk,kij_pr,kijtpr,kijpcsaft,hvalpha,hvgij,hvgji,wstype,nrtlalpha,nrtlgij,nrtlgji,gijvisc,hvgijt,hvgjit,wsgijt,wsgjit,cpakij_srk,cpakijt_srk,cpakijx_srk,cpakjix_srk,cpakij_pr,kijwsunifac,cpabetacross,cpaepscross,kijwhitsonsoriede
dea+,teg,Classic,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
k+,teg,HV,0.0,0.0,0.0,0.0,0.0,0.2,1600.0,0.0,Classic,0.2,1600.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
hs-,teg,Classic,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
s--,teg,Classic,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
i-,teg,Classic,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
mg++,teg,Classic,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ba++,teg,Classic,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sr++,teg,Classic,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanol,oxygen,Classic,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,WS,0.395,1610.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
ethanol,oxygen,Classic,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,WS,0.395,1610.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
meg,oxygen,Classic,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,Classic,0.3656,2063.0,601.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
deg,oxygen,Classic,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,Classic,0.3656,2063.0,601.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
teg,oxygen,Classic,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,Classic,0.3656,2063.0,601.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
nacl,oxygen,Classic,0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.0,WS,0.084,7623.0,5281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
cacl2,oxygen,Classic,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,WS,0.055,8790.0,14765.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5
helium,oxygen,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen,oxygen,Classic,0.0079,0.0,0.0079,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0079,0.0,0.0079,0.0079,0.0079,0.0,0.0,0.0,0.0079
nitrogen,oxygen,Classic,-0.0078,0.0,-0.0078,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0078,0.0,-0.0078,-0.0078,-0.0078,0.0,0.0,0.0,-0.0078
oxygen,oxygen,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
co2,oxygen,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h2s,oxygen,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ethane,oxygen,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
propane,oxygen,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c-propane,oxygen,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i-butane,oxygen,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n-butane,oxygen,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c-c4,oxygen,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i-pentane,oxygen,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n-pentane,oxygen,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-m-c5,oxygen,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3-m-c5,oxygen,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n-hexane,oxygen,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benzene,oxygen,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c-hexane,oxygen,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223-tm-c4,oxygen,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n-heptane,oxygen,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
toluene,oxygen,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c-c7,oxygen,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c-c8,oxygen,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h3o+,oxygen,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen,n-pentane,Classic,0.2166,0.0,0.2166,0.0,0.0,0.0,0.0,0.0,Classic,0.2166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c-propane,n-pentane,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
i-butane,n-pentane,Classic,0.00081462,0.0,0.00081462,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
c-c4,n-pentane,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
i-pentane,n-pentane,Classic,0.00039999,0.0,0.00039999,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
n-pentane,n-pentane,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35
2-m-c5,n-pentane,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
3-m-c5,n-pentane,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n-hexane,n-pentane,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1446
dea+,oxygen,Classic,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
k+,oxygen,Classic,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.00047251
hs-,oxygen,Classic,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
s--,oxygen,Classic,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
i-,oxygen,Classic,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
mg++,oxygen,Classic,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00092632
ba++,oxygen,Classic,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sr++,oxygen,Classic,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water,n-butane,HV,0.52,0.0,0.52,0.0,0.0,0.12,-567.8,3181.0,WS,0.122,2467.0,274.0,0.0,1.97,-1.93,0.0,0.0,0.0875,0.0,0.0875,0.0875,0.0,0.0,0.0,0.0,0.0
methanol,n-butane,HV,0.25,0.0,0.25,0.0,0.0,0.395,1135.0,1603.0,WS,0.395,895.0,435.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0
ethanol,n-butane,HV,0.25,0.0,0.25,0.0,0.0,0.395,1135.0,1603.0,WS,0.395,895.0,435.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,0.005,0.0,0.0,0.0,0.0,0.0
deg,n-butane,Classic,0.2,0.0,0.2,0.0,0.0,0.3656,2063.0,601.7,Classic,0.3656,2063.0,601.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
teg,n-butane,Classic,0.2,0.0,0.2,0.0,0.0,0.3656,2063.0,601.7,Classic,0.3656,2063.0,601.7,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0
nacl,n-butane,Classic,0.7,0.0,0.7,0.0,0.0,0.0369,20193.0,3528.0,Classic,0.0592,10539.0,4777.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cacl2,n-butane,Classic,1.18,0.0,1.18,0.0,0.0,0.0364,99000.0,3080.0,Classic,0.0364,99000.0,3080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
helium,n-butane,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen,n-butane,Classic,0.1446,0.0,0.1446,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1446,0.0,0.1446,0.1446,0.1446,0.0,0.0,0.0,0.0
c-propane,n-butane,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i-butane,n-butane,Classic,0.00047251,0.0,0.00047251,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n-butane,n-butane,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c-c4,n-butane,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i-pentane,n-butane,Classic,0.00092632,0.0,0.00092632,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00092632,0.0,0.00092632,0.00092632,0.0,0.0,0.0,0.0,0.0
n-pentane,n-butane,Classic,0.00097665,0.0,0.00097665,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00097665,0.0,0.00097665,0.00097665,0.0,0.0,0.0,0.0,0.0
2-m-c5,n-butane,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3-m-c5,n-butane,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n-hexane,n-butane,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benzene,n-butane,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c-hexane,n-butane,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223-tm-c4,n-butane,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n-heptane,n-butane,Classic,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
toluene,n-butane,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c-c7,n-butane,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c-c8,n-butane,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h3o+,n-butane,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1817
mdea,n-butane,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1221
hco3-,n-butane,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oh-,n-butane,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2045
na+,n-butane,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cl-,n-butane,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ca++,n-butane,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
li+,n-butane,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
br-,n-butane,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nh4+,n-butane,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
co3--,n-butane,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deacoo-,n-butane,Classic,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5
dea,n-butane,Classic,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5
dea+,n-butane,Classic,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5
k+,n-butane,Classic,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5
hs-,n-butane,Classic,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.26
s--,n-butane,Classic,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.26
i-,n-butane,Classic,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5
mg++,n-butane,Classic,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
ba++,n-butane,Classic,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
sr++,n-butane,Classic,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
deg,ethanol,Classic,0.0882,0.0,0.0882,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
nacl,ethanol,Classic,0.1221,0.0,0.1221,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
cacl2,ethanol,Classic,0.2045,0.0,0.2045,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
helium,ethanol,Classic,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
hydrogen,ethanol,Classic,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
h2s,ethanol,HV,0.5,0.0,0.5,0.0,0.0,0.395,45.0,965.0,WS,0.395,45.0,965.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c-propane,ethanol,Classic,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i-butane,ethanol,HV,0.25,0.0,0.25,0.0,0.0,0.395,1603.0,1135.0,WS,0.395,1603.0,1135.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.018,0.018,0.0,0.0,0.0,0.0,0.0
c-c4,ethanol,Classic,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i-pentane,ethanol,HV,0.26,0.0,0.26,0.0,0.0,0.395,744.0,1071.0,WS,0.395,744.0,1071.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-m-c5,ethanol,Classic,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3-m-c5,ethanol,Classic,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,Classic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n-hexane,ethanol,HV,0.28,0.0,0.28,0.0,0.0,0.395,758.0,1276.0,WS,0.395,758.0,1276.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0
